"Qubit","T1 (us)","T2 (us)","판독 지정 오류","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID 오류","단일 큐비트 게이트 길이 (ns)","RX 오류","Z축 회전(rz) 오류","√x (sx) 오류","Pauli-X 오류","CZ 오류","게이트 길이 (ns)","RZZ 오류","MEASURE 오류","Operational"
"44","154.9647127275992","141.03308387632086","0.008056640625","0.0146484375","0.00146484375","2584","0.0002935569979830681","36","0.0002935569979830681","0","0.0002935569979830681","0.0002935569979830681","45:0.0018694101652314;43:0.0016981575149892514","45:68;43:68","45:0.0017417997798602203;43:0.0022019416650532475","0.008056640625","Yes"
"45","113.61911446322566","120.64290889809575","0.01318359375","0.025390625","0.0009765625","2584","0.0002824990895757114","36","0.0002824990895757114","0","0.0002824990895757114","0.0002824990895757114","44:0.0018694101652314;46:0.0020099058279284543;37:0.004060238546493844","44:68;46:68;37:68","44:0.0017417997798602203;46:0.0029491510511919228;37:0.0032168038579705738","0.01318359375","Yes"
"46","232.42864170185146","92.20763421260966","0.013427734375","0.02392578125","0.0029296875","2584","0.0003327876923657567","36","0.0003327876923657567","0","0.0003327876923657567","0.0003327876923657567","45:0.0020099058279284543;47:0.0016513219214433772","45:68;47:68","45:0.0029491510511919228;47:0.0015468354770532267","0.013427734375","Yes"
"47","138.3078165663388","68.41204564891022","0.0078125","0.013671875","0.001953125","2584","0.0002517011888160382","36","0.0002517011888160382","0","0.0002517011888160382","0.0002517011888160382","48:0.009756637273353685;57:0.001408464511546359;46:0.0016513219214433772","48:68;57:68;46:68","48:0.006838747188865263;57:0.0028157006066234225;46:0.0015468354770532267","0.0078125","Yes"
"48","289.51670303776467","220.64352099376364","0.094970703125","0.1396484375","0.05029296875","2584","0.0033172907984588863","36","0.0033172907984588863","0","0.0033172907984588863","0.0033172907984588863","47:0.009756637273353685;49:0.009654647472030486","47:68;49:68","47:0.006838747188865263;49:0.006346480879182381","0.094970703125","Yes"
"49","280.7606149715785","193.45065827324177","0.006103515625","0.009765625","0.00244140625","2584","0.0005108783142784164","36","0.0005108783142784164","0","0.0005108783142784164","0.0005108783142784164","48:0.009654647472030486;50:0.002226585920152957;38:0.002798989047666761","48:68;50:68;38:68","48:0.006346480879182381;50:0.002722606853436199;38:0.002432874370734195","0.006103515625","Yes"
"50","267.29871238794897","175.91826473451871","0.01513671875","0.02587890625","0.00439453125","2584","0.00022997677703091786","36","0.00022997677703091786","0","0.00022997677703091786","0.00022997677703091786","49:0.002226585920152957;51:0.0019128687067836436","49:68;51:68","49:0.002722606853436199;51:0.002149180583076532","0.01513671875","Yes"
"51","257.4801015719797","329.37456756978463","0.0810546875","0.06005859375","0.10205078125","2584","0.0003343596777987526","36","0.0003343596777987526","0","0.0003343596777987526","0.0003343596777987526","50:0.0019128687067836436;52:0.0025564566877104566;58:0.002455033284247621","50:68;52:68;58:68","50:0.002149180583076532;52:0.00184275913158094;58:0.0031476064954329974","0.0810546875","Yes"
"52","130.2979268721444","85.59344976173753","0.01123046875","0.0146484375","0.0078125","2584","0.0005738345569982402","36","0.0005738345569982402","0","0.0005738345569982402","0.0005738345569982402","51:0.0025564566877104566;53:0.0029660953635505527","51:68;53:68","51:0.00184275913158094;53:0.0014634564719100962","0.01123046875","Yes"
"53","246.0951853754569","178.09412146893376","0.006103515625","0.00732421875","0.0048828125","2584","0.00028374282302658663","36","0.00028374282302658663","0","0.00028374282302658663","0.00028374282302658663","39:0.0017050206393781353;52:0.0029660953635505527;54:0.001433049067571135","39:68;52:68;54:68","39:0.0013992271799508071;52:0.0014634564719100962;54:0.0016483674168209228","0.006103515625","Yes"
"54","240.30179839454877","326.2968843942512","0.007080078125","0.009765625","0.00439453125","2584","0.00016882720275299904","36","0.00016882720275299904","0","0.00016882720275299904","0.00016882720275299904","53:0.001433049067571135;55:0.0016021794711918447","53:68;55:68","53:0.0016483674168209228;55:0.0015186240566226472","0.007080078125","Yes"
"55","202.43784956214034","66.87378712123561","0.033935546875","0.02734375","0.04052734375","2584","0.00021608263822582428","36","0.00021608263822582428","0","0.00021608263822582428","0.00021608263822582428","59:0.0033143957694667936;54:0.0016021794711918447","59:68;54:68","59:0.004032066423625302;54:0.0015186240566226472","0.033935546875","Yes"
"56","221.67178585726595","91.22137501070324","0.008544921875","0.0146484375","0.00244140625","2584","0.00039352141957171274","36","0.00039352141957171274","0","0.00039352141957171274","0.00039352141957171274","63:0.00184281559087085;43:0.0020086680519200983","63:68;43:68","63:0.0021286470141661795;43:0.0023098807260766574","0.008544921875","Yes"
"57","234.18598358906294","206.95163174318648","0.016845703125","0.02490234375","0.0087890625","2584","0.00019233220427423127","36","0.00019233220427423127","0","0.00019233220427423127","0.00019233220427423127","47:0.001408464511546359;67:0.0021307209100377977","47:68;67:68","47:0.0028157006066234225;67:0.003801918406479754","0.016845703125","Yes"
"58","231.76607039148772","231.02897955593485","0.03662109375","0.05517578125","0.01806640625","2584","0.00013719842792975348","36","0.00013719842792975348","0","0.00013719842792975348","0.00013719842792975348","71:0.002945472749586703;51:0.002455033284247621","71:68;51:68","71:0.0034105604873495565;51:0.0031476064954329974","0.03662109375","Yes"
"59","175.6687815944438","169.87242753607146","0.0107421875","0.017578125","0.00390625","2584","0.0002469124570925627","36","0.0002469124570925627","0","0.0002469124570925627","0.0002469124570925627","55:0.0033143957694667936;75:0.002293241702262472","55:68;75:68","55:0.004032066423625302;75:0.003142240346926728","0.0107421875","Yes"
"60","100.35798039899844","92.83868765790932","0.027099609375","0.02880859375","0.025390625","2584","0.00028682231795594526","36","0.00028682231795594526","0","0.00028682231795594526","0.00028682231795594526","61:0.0074915911986278005","61:80","61:0.019748229359662972","0.027099609375","Yes"
"61","240.6130005791694","182.26439592881397","0.013916015625","0.013671875","0.01416015625","2584","0.0002517463301783296","36","0.0002517463301783296","0","0.0002517463301783296","0.0002517463301783296","76:0.0030509292678061184;60:0.0074915911986278005;62:0.0020287218495758097","76:68;60:80;62:68","76:0.0021514020172941073;60:0.019748229359662972;62:0.0026732088018474875","0.013916015625","Yes"
